FilePath,CodeLines,CommentLines,BlankLines,TotalLines,CommentDensityPct
.\libs\shared\src\main\java\io\crate\common\annotations\GuardedBy.java,10,20,3,33,60.60606060606061
.\libs\shared\src\main\java\io\crate\common\annotations\Immutable.java,11,20,3,34,58.8235294117647
.\libs\shared\src\main\java\io\crate\common\annotations\NotThreadSafe.java,11,20,5,36,55.55555555555556
.\libs\shared\src\main\java\io\crate\common\annotations\OverridingMethodsMustInvokeSuper.java,11,20,3,34,58.8235294117647
.\libs\shared\src\main\java\io\crate\common\annotations\ThreadSafe.java,11,20,3,34,58.8235294117647
.\libs\shared\src\main\java\io\crate\common\annotations\VisibleForTesting.java,11,20,3,34,58.8235294117647
.\libs\shared\src\main\java\io\crate\common\Booleans.java,71,61,14,146,41.78082191780822
.\libs\shared\src\main\java\io\crate\common\CheckedFunction.java,6,23,3,32,71.875
.\libs\shared\src\main\java\io\crate\common\CheckedTriConsumer.java,4,23,2,29,79.3103448275862
.\libs\shared\src\main\java\io\crate\common\collections\AbstractIterator.java,63,66,17,146,45.205479452054796
.\libs\shared\src\main\java\io\crate\common\collections\BlockingEvictingQueue.java,15,20,5,40,50.0
.\libs\shared\src\main\java\io\crate\common\collections\BorrowedItem.java,16,20,6,42,47.61904761904762
.\libs\shared\src\main\java\io\crate\common\collections\CartesianList.java,81,24,13,118,20.338983050847457
.\libs\shared\src\main\java\io\crate\common\collections\CompoundOrdering.java,43,20,11,74,27.027027027027028
.\libs\shared\src\main\java\io\crate\common\collections\EnumSets.java,22,26,5,53,49.056603773584904
.\libs\shared\src\main\java\io\crate\common\collections\Iterables.java,150,157,36,343,45.77259475218659
.\libs\shared\src\main\java\io\crate\common\collections\Iterators.java,378,167,81,626,26.677316293929714
.\libs\shared\src\main\java\io\crate\common\collections\LexicographicalOrdering.java,49,35,12,96,36.458333333333336
.\libs\shared\src\main\java\io\crate\common\collections\Lists.java,494,112,87,693,16.161616161616163
.\libs\shared\src\main\java\io\crate\common\collections\MapBuilder.java,83,24,24,131,18.3206106870229
.\libs\shared\src\main\java\io\crate\common\collections\Maps.java,267,40,26,333,12.012012012012011
.\libs\shared\src\main\java\io\crate\common\collections\PeekingIterator.java,10,49,6,65,75.38461538461539
.\libs\shared\src\main\java\io\crate\common\collections\RefCountedItem.java,46,28,10,84,33.333333333333336
.\libs\shared\src\main\java\io\crate\common\collections\RingBuffer.java,38,20,11,69,28.985507246376812
.\libs\shared\src\main\java\io\crate\common\collections\Sets.java,101,20,19,140,14.285714285714286
.\libs\shared\src\main\java\io\crate\common\collections\Tuple.java,7,24,3,34,70.58823529411765
.\libs\shared\src\main\java\io\crate\common\concurrent\CompletableFutures.java,43,32,9,84,38.095238095238095
.\libs\shared\src\main\java\io\crate\common\concurrent\ConcurrencyLimit.java,95,82,34,211,38.86255924170616
.\libs\shared\src\main\java\io\crate\common\concurrent\ExpAvgMeasurement.java,43,15,11,69,21.73913043478261
.\libs\shared\src\main\java\io\crate\common\concurrent\Killable.java,18,46,7,71,64.78873239436619
.\libs\shared\src\main\java\io\crate\common\concurrent\Measurement.java,8,29,6,43,67.44186046511628
.\libs\shared\src\main\java\io\crate\common\exceptions\Exceptions.java,170,68,23,261,26.053639846743295
.\libs\shared\src\main\java\io\crate\common\FourFunction.java,5,38,2,45,84.44444444444444
.\libs\shared\src\main\java\io\crate\common\Hex.java,67,79,20,166,47.59036144578313
.\libs\shared\src\main\java\io\crate\common\io\IOUtils.java,150,104,23,277,37.545126353790614
.\libs\shared\src\main\java\io\crate\common\io\Streams.java,19,37,4,60,61.666666666666664
.\libs\shared\src\main\java\io\crate\common\MutableDouble.java,20,20,8,48,41.666666666666664
.\libs\shared\src\main\java\io\crate\common\MutableFloat.java,20,20,8,48,41.666666666666664
.\libs\shared\src\main\java\io\crate\common\MutableLong.java,49,20,15,84,23.80952380952381
