Module,Files,CodeLines,CommentLines,BlankLines,TotalLines,CommentDensityPct
app,4,267,147,47,461,31.887201735357916
server,2865,294706,95774,51895,442375,21.64995761514552
libs/es-x-content,27,2856,1383,670,4909,28.17274393970259
extensions/lang-js,6,344,127,62,533,23.827392120075046
libs/opendal,6,314,137,68,519,26.396917148362235
extensions/jmx-monitoring,17,911,370,281,1562,23.687580025608195
plugins/es-repository-s3,3,282,148,67,497,29.77867203219316
libs/dex,47,2151,1504,509,4164,36.119116234390006
libs/pgwire,3,143,65,36,244,26.639344262295083
extensions/functions,8,1736,285,260,2281,12.494519947391495
plugins/es-discovery-ec2,7,657,273,146,1076,25.37174721189591
libs/cli,5,267,178,71,516,34.49612403100775
plugins/es-analysis-phonetic,5,542,256,77,875,29.257142857142856
plugins/dns-discovery,2,200,42,31,273,15.384615384615385
libs/sql-parser,223,12833,4782,2767,20382,23.46187812775979
plugins/es-analysis-common,120,4190,2446,936,7572,32.303222398309565
plugins/cr8-copy-s3,6,256,125,49,430,29.069767441860463
plugins/es-repository-azure,2,220,66,40,326,20.245398773006134
plugins/crate-copy-azure,6,237,150,65,452,33.1858407079646
libs/shared,48,3281,1929,693,5903,32.6782991699136
plugins/repository-gcs,3,227,77,46,350,22.0
plugins/es-repository-url,4,303,150,64,517,29.013539651837526
libs/guice,169,9078,6318,2426,17822,35.4505667152957
