"Module","Files","Blank","Comments","LOC","TotalLines","CommentDensityPct"
"server","2865","51887","95747","294639","442273","21.65"
"libs/sql-parser","223","2765","4782","12831","20378","23.47"
"libs/guice","169","2426","6318","9078","17822","35.45"
"plugins/es-analysis-common","120","936","2446","4190","7572","32.3"
"libs/shared","48","693","1929","3281","5903","32.68"
"libs/es-x-content","27","670","1383","2856","4909","28.17"
"libs/dex","47","506","1504","2145","4155","36.2"
"extensions/functions","8","260","285","1736","2281","12.49"
"extensions/jmx-monitoring","17","281","370","911","1562","23.69"
"plugins/es-discovery-ec2","7","146","273","657","1076","25.37"
"plugins/es-analysis-phonetic","5","77","256","542","875","29.26"
"extensions/lang-js","6","62","127","344","533","23.83"
"libs/opendal","6","67","134","315","516","25.97"
"plugins/es-repository-url","4","64","150","303","517","29.01"
"plugins/es-repository-s3","3","67","148","281","496","29.84"
"libs/cli","5","71","178","267","516","34.5"
"app","4","47","147","267","461","31.89"
"plugins/cr8-copy-s3","6","49","125","256","430","29.07"
"plugins/crate-copy-azure","6","65","150","237","452","33.19"
"plugins/repository-gcs","3","46","77","227","350","22"
"plugins/es-repository-azure","2","40","66","220","326","20.25"
"plugins/dns-discovery","2","31","42","200","273","15.38"
"libs/pgwire","3","36","65","143","244","26.64"
